,Transaction ID,Sender Address,Receiver Address,Amount Transferred,Timestamp,Transaction Type,Fraudulent Label,Suspicious Transaction Flags,Block Hash,Block Number,Mining Pool Information,Account Creation Date,Account Activity Level,Account Age,Account Balance,Account Reputation Score,Transaction Volume,Transaction Frequency,Number of Distinct Counterparties,Time Between Transactions,Number of Transactions per Day,Pattern Consistency,Shared IP Address,Device Information,Account Linking,Geographical Location,Device Fingerprinting
0,TX000001,ACC000320,ACC000050,14.33,2025-02-26 23:32:59.344721,Smart Contract Interaction,1,1,BLOCK000001,472724,PoolD,2024-05-23 19:16:59.359776,Medium,331,9452.67,9,2267.59,75,48,11.44308284772501,7,0,40.30.60.75,DeviceB,0,EU,Fingerprint_319
1,TX000002,ACC000013,ACC000343,66.02,2025-02-26 21:02:59.344721,Smart Contract Interaction,0,1,BLOCK000002,367240,PoolB,2024-10-15 19:16:59.358697,Low,257,1028.95,83,5116.52,81,1,16.955469315525885,1,1,97.116.87.21,DeviceB,0,US,Fingerprint_12
2,TX000003,ACC000138,ACC000273,22.11,2025-02-26 19:48:59.344721,Regular Transfer,0,0,BLOCK000003,714012,PoolD,2024-11-02 19:16:59.359776,High,233,3193.33,67,3004.58,47,20,18.377490129276005,2,1,19.249.44.243,DeviceA,0,Africa,Fingerprint_137
3,TX000004,ACC000112,ACC000489,30.06,2025-02-27 11:34:59.344721,Regular Transfer,1,1,BLOCK000004,185741,PoolB,2024-09-11 19:16:59.359776,Medium,48,8254.57,20,4144.18,88,19,4.048625610909067,9,0,208.89.205.190,DeviceC,0,EU,Fingerprint_111
4,TX000005,ACC000369,ACC000180,6.11,2025-02-27 13:42:59.344721,Regular Transfer,0,1,BLOCK000005,905984,PoolC,2024-03-12 19:16:59.359776,High,51,3862.41,89,4067.43,2,30,20.64632658673818,6,0,164.188.101.21,DeviceD,1,EU,Fingerprint_368
5,TX000006,ACC000339,ACC000200,94.85,2025-02-27 03:51:59.344721,Smart Contract Interaction,1,0,BLOCK000006,627899,PoolB,2024-08-06 19:16:59.359776,High,14,1626.07,67,7683.53,12,50,22.28320058552058,4,1,232.148.233.22,DeviceC,1,US,Fingerprint_338
6,TX000007,ACC000447,ACC000095,87.97,2025-02-27 16:45:59.344721,Smart Contract Interaction,0,0,BLOCK000007,117058,PoolB,2024-12-15 19:16:59.359776,High,108,2007.0,30,5592.59,23,12,4.319838687868933,9,1,250.110.210.169,DeviceB,1,Oceania,Fingerprint_446
7,TX000008,ACC000044,ACC000062,91.16,2025-02-27 18:07:59.344721,Regular Transfer,0,0,BLOCK000008,219470,PoolD,2024-05-12 19:16:59.358697,Low,45,2453.18,33,9430.55,67,11,20.57114048203995,6,0,182.247.74.139,DeviceA,1,Oceania,Fingerprint_43
8,TX000009,ACC000211,ACC000425,62.6,2025-02-27 09:12:59.344721,Smart Contract Interaction,1,1,BLOCK000009,876487,PoolD,2024-08-05 19:16:59.359776,High,163,9280.2,42,3758.45,22,37,7.30676827913546,10,0,82.46.138.248,DeviceB,1,US,Fingerprint_210
9,TX000010,ACC000015,ACC000228,42.73,2025-02-27 18:34:59.344721,Smart Contract Interaction,0,0,BLOCK000010,793715,PoolA,2024-11-07 19:16:59.358697,High,312,5875.79,45,3241.61,25,39,17.308906304137924,8,1,166.206.237.237,DeviceA,0,US,Fingerprint_14
